Radius(m)	Temperature(K)
1560800	103.15
1560700	105.41666
1560600	107.68332
1560500	109.94998
1560400	112.21664
1560300	114.4833
1560200	116.74996
1560100	119.01662
1560000	121.28328
1559900	123.54994
1559800	125.8166
1559700	128.08326
1559600	130.34992
1559500	132.61658
1559400	134.88324
1559300	137.1499
1559200	139.41656
1559100	141.68322
1559000	143.94988
1558900	146.21654
1558800	148.4832
1558700	150.74986
1558600	153.01652
1558500	155.28318
1558400	157.54984
1558300	159.8165
1558200	162.08316
1558100	164.34982
1558000	166.61648
1557900	168.88314
1557800	171.1498
1557700	173.41646
1557600	175.68312
1557500	177.94978
1557400	180.21644
1557300	182.4831
1557200	184.74976
1557100	187.01642
1557000	189.28308
1556900	191.54974
1556800	193.8164
1556700	196.08306
1556600	198.34972
1556500	200.61638
1556400	202.88304
1556300	205.1497
1556200	207.41636
1556100	209.68302
1556000	211.94968
1555900	214.21634
1555800	216.483
1555700	218.74966
1555600	221.01632
1555500	223.28298
1555400	225.54964
1555300	227.8163
1555200	230.08296
1555100	232.34962
1555000	234.61628
1554900	236.88294
1554800	239.1496
1554700	241.41626
1554600	243.68292
1554500	245.94958
1554400	248.21624
1554300	250.4829
1554200	252.74956
1554100	255.01622
1554000	257.28288
1553900	259.54954
1553800	261.8162
1553700	264.08286
1553600	266.34952
1553500	268.61618
1553400	270.88284
1553300	273.1495
